csvkit,1,1
pivottables,1,1
pdfs,1,1
tidyr,1,1
readr,1,1
tibble,1,1
nodejs,1,1
altair,1,1
django,1,1
scraper,1,1
blockchain,1,1
documentcloud,1,1
topojson,1,1
leaflet,1,1
pdfplumber,1,1
tabula,1,1
cometdocs,1,1
pgadmin,1,1
psql,1,1
heroku,1,1
geopandas,1,1
tidytext,1,1
bot,1,1
vizier,1,1
illustrator,1,1
tidyr,1,1
readr,1,1
tibble,1,1
purr,1,1
neo4js,1,1
htmlcss,1,1
ocr,1,1
gspanjs,1,1
socrata2sql,1,1
ruby,1,1
office365,1,1
gui,2,2
grel,2,1
dplyr,2,2
shapefiles,2,2
mapbox,2,1
postgis,2,2
json,2,1
matplotlib,2,2
regex,2,1
datawrapper,2,1
visidata,2,1
flourish,2,1
d3js,2,2
cypher,2,1
ai2html,2,1
rstudio,3,3
jupyter,3,3
csv,4,3
tidyverse,4,4
ggplot2,4,4
algorithm,5,4
dnsdb,5,1
mysql,5,4
datasette,5,1
pspp,5,3
foia,6,5
openrefine,7,2
qgis,7,4
panda,7,5
github,7,4
sqlite,8,6
html,9,5
pivot,10,6
pdf,10,4
ai,11,1
d3,11,5
pdf,12,4
tableau,17,3
javascript,19,14
code,27,23
sql,29,19
python,31,18
spreadsheet,32,25
r,35,18
excel,39,23
database,61,37
